y1, y2, y3, y4
-4.55E+00,-5.89E+00,-1.271455406,-1.58E+01
-1.05E+01,-1.25E+01,-7.59E+00,-1.89E+01
-1.05E+01,-1.25E+01,-7.57E+00,-1.79E+01
-1.04E+01,-1.24E+01,-7.65E+00,-2.02E+01
-1.04E+01,-1.21E+01,-7.29E+00,-2.01E+01
-1.08E+01,-1.25E+01,-7.77E+00,-1.72E+01
-2.378901233,-4.10E+00,0.803354275,-9.07E+00
-2.570169586,-4.15E+00,0.931687096,-8.68E+00
-2.983547918,-4.45E+00,0.604753313,-8.82E+00
-1.05E+01,-1.25E+01,-7.57E+00,-1.97E+01
-1.04E+01,-1.23E+01,-7.67E+00,-2.00E+01
-1.04E+01,-1.24E+01,-7.65E+00,-1.93E+01
-6.32E+00,-7.47E+00,-2.52035891,-1.29E+01
-1.04E+01,-1.23E+01,-7.67E+00,-2.04E+01
-1.04E+01,-1.19E+01,-7.13E+00,-1.88E+01
-1.05E+01,-1.25E+01,-7.58E+00,-2.03E+01
-1.05E+01,-1.25E+01,-7.56E+00,-1.92E+01
-4.74E+00,-6.05E+00,-1.066296368,-1.16E+01
-1.04E+01,-1.24E+01,-7.61E+00,-1.87E+01
-6.02E+00,-7.31E+00,-2.472303091,-1.52E+01
-1.04E+01,-1.24E+01,-7.61E+00,-1.95E+01
-1.05E+01,-1.25E+01,-7.57E+00,-1.77E+01
-3.85246898,-5.33E+00,-0.3291483,-1.23E+01
-8.82E+00,-9.81E+00,-4.94E+00,-2.00E+01
-1.04E+01,-1.24E+01,-7.61E+00,-1.95E+01
-1.04E+01,-1.24E+01,-7.65E+00,-1.87E+01
-3.847873782,-5.11E+00,-0.107214511,-1.02E+01
-2.903869637,-4.24E+00,0.499668885,-8.97E+00
-1.07E+01,-1.25E+01,-7.73E+00,-1.72E+01
-1.04E+01,-1.23E+01,-7.67E+00,-1.92E+01
-1.04E+01,-1.23E+01,-7.68E+00,-1.94E+01
-1.04E+01,-1.24E+01,-7.66E+00,-1.89E+01
-7.80E+00,-8.71E+00,-3.89044845,-1.61E+01
-1.04E+01,-1.23E+01,-7.69E+00,-2.04E+01
-1.04E+01,-1.24E+01,-7.61E+00,-1.94E+01
-1.05E+01,-1.25E+01,-7.56E+00,-1.99E+01
-1.05E+01,-1.25E+01,-7.58E+00,-1.97E+01
-1.05E+01,-1.25E+01,-7.57E+00,-1.88E+01
-2.785199848,-4.24E+00,0.833534501,-8.57E+00
-7.92E+00,-8.82E+00,-4.16E+00,-1.45E+01
-7.34E+00,-8.22E+00,-3.413742479,-1.50E+01
-1.05E+01,-1.24E+01,-7.69E+00,-1.75E+01
-3.344952853,-4.76E+00,0.095219654,-9.83E+00
-1.04E+01,-1.23E+01,-7.69E+00,-1.81E+01
-1.05E+01,-1.24E+01,-7.60E+00,-2.05E+01
-3.964886591,-5.22E+00,-0.415699016,-1.10E+01
-2.461516879,-4.17E+00,0.727703372,-9.30E+00
-3.90160204,-5.15E+00,-0.254948415,-1.07E+01
-2.884724407,-4.29E+00,0.546933757,-8.74E+00
-2.738871843,-4.28E+00,0.711265147,-8.76E+00
-1.08E+01,-1.25E+01,-7.70E+00,-1.72E+01
-2.740813852,-4.34E+00,0.366279884,-1.03E+01
-6.04E+00,-7.14E+00,-2.344307041,-1.21E+01
-1.05E+01,-1.25E+01,-7.56E+00,-1.95E+01
-1.05E+01,-1.25E+01,-7.59E+00,-1.95E+01
-2.869845455,-4.16E+00,0.624782477,-8.57E+00
-1.07E+01,-1.26E+01,-7.61E+00,-1.70E+01
-1.05E+01,-1.25E+01,-7.57E+00,-1.93E+01
-1.01E+01,-1.10E+01,-6.14E+00,-1.79E+01
-1.05E+01,-1.25E+01,-7.56E+00,-2.02E+01
-1.04E+01,-1.23E+01,-7.65E+00,-1.81E+01
-1.04E+01,-1.23E+01,-7.69E+00,-1.92E+01
-1.04E+01,-1.24E+01,-7.64E+00,-1.91E+01
-3.082560664,-4.46E+00,0.600838353,-8.69E+00
-1.04E+01,-1.23E+01,-7.68E+00,-2.02E+01
-1.04E+01,-1.24E+01,-7.62E+00,-1.77E+01
-1.05E+01,-1.25E+01,-7.58E+00,-1.84E+01
